issue,actual_red,actual_blue,ticket1,blue1,ticket2,blue2,hit1,hit2,max_hit,blue_hit_pair,blue_hit1,prize1,fixed_payout1,blue_hit2,prize2,fixed_payout2,best_prize,draw_fixed_payout
2026095,04 06 14 21 22 33,16,09 22 27 29 30 32,13,07 08 16 23 26 33,7,1,1,1,0,False,未中奖,0,False,未中奖,0,未中奖,0
2026096,01 04 16 22 26 31,4,04 05 09 21 25 32,11,01 07 16 18 24 26,12,1,3,3,0,False,未中奖,0,False,未中奖,0,未中奖,0
2026097,05 16 24 26 29 30,2,04 05 09 19 20 22,8,12 14 18 29 31 33,16,1,1,1,0,False,未中奖,0,False,未中奖,0,未中奖,0
2026098,08 16 18 22 25 26,7,03 13 21 27 30 32,7,01 09 17 23 31 33,14,0,0,0,1,True,六等奖,5,False,未中奖,0,六等奖,5
2026099,01 12 14 18 30 31,2,01 03 06 08 14 15,5,02 09 11 22 25 32,3,2,0,2,0,False,未中奖,0,False,未中奖,0,未中奖,0
2026100,03 04 09 13 22 31,4,01 06 10 13 22 33,13,11 14 16 17 20 26,6,2,0,2,0,False,未中奖,0,False,未中奖,0,未中奖,0
2026101,05 06 08 09 24 25,12,12 13 18 24 25 31,4,01 02 03 19 29 30,10,2,0,2,0,False,未中奖,0,False,未中奖,0,未中奖,0
2026102,03 04 10 13 16 25,9,06 09 13 15 21 30,8,05 08 14 22 31 32,2,1,0,1,0,False,未中奖,0,False,未中奖,0,未中奖,0
2026103,04 11 20 27 28 30,15,04 07 13 14 24 27,13,15 19 26 28 29 33,1,2,1,2,0,False,未中奖,0,False,未中奖,0,未中奖,0
2026104,11 12 13 19 20 31,3,02 04 09 18 20 29,1,01 11 15 21 22 24,13,1,1,1,0,False,未中奖,0,False,未中奖,0,未中奖,0
